name,url,logo_url
"Knowledge Capture Conference","https://www.k-cap.org/","https://www.k-cap.org/2019/wp-content/themes/kcap/images/K-cap-logo.png"
"arXiv","https://arxiv.org/","https://avatars2.githubusercontent.com/u/45442578"
